nome,latitude,longitude
RIO PURUS (JUSANTE),-3.7389,-61.4403
YURUPARI,0.833333333333333,-71.0333333333333
MANDI,1.1,-70.7333333333333
CERROS LOS,0.8939,-70.7781
SAN ANTÔNIO,1.2164,-70.7161
MITU AUTOMATICA,1.2594,-70.2389
PITUNA,1.3,-70.2833333333333
QUERARI,1.0819,-69.8394
PARQUE CAPARU,-1.0717,-69.4992
ANAMÃ,-3.5811,-61.3783
ANAMÃ,-3.5958,-61.3933
MANACAPURU MONTANTE,-3.5181,-60.7944
RIO SOLIMÕES,-3.3264,-60.5706
MANACAPURU,-3.3106,-60.6094
IRANDUBA,-3.2681,-60.2156
RIO AMAZONAS,-3.1961,-59.8336
CUCUÍ,1.2153,-66.8525
FAZENDA BOM JARDIM,-3.1833,-59.9
PORTO DO LAGO JANAUARI,-3.2097,-60.0336
COMUNIDADE SANTA LUZIA,-3.2236,-59.9731
XIBORENINHA,-3.2167,-59.9167
SÃO JOAQUIM,1.7164,-69.3844
LOURO POÇO,1.3392,-68.6858
RIO MIRITI - MONTANTE,-3.2483,-60.6311
RIRIO MIRITI,-3.3003,-60.5978
MISSÃO IÇANA,1.0744,-67.5947
FAZENDA RECREIO,2.8642,-60.7517
SÃO FELIPE,0.3717,-67.3128
UARAÇU,0.4769,-69.1281
IGARAPÉ BARRO BRANCO (AV. JOSÉ LINDOSO),-2.9664,-60.0022
IGARAPÉ DO FRANCO (MONTANTE),-3.1133,-60.0356
IGARAPÉ DO FRANCO (JUSANTE),-3.1136,-60.0317
TARAQUA,0.1303,-68.5386
TARAQUÁ,0.1303,-68.5386
CUNURI SWOT,0.1164,-67.6861
PARI CACHOEIRA,0.2494,-69.785
CUNURI,0.2094,-69.3781
SÃO GABRIEL DA CACHOEIRA,-0.1361,-67.0847
SÃO GABRIEL DA CACHOEIRA,-0.1367,-67.0856
TUMBIRA,-0.3444,-67.5358
CURICURIARI,-0.2006,-66.8022
JUSANTE DA CACHOEIRA DO CAJU,-0.2461,-67.0092
BOM JESUS DO MARIE,-0.65,-66.75
MISSÃO MATURACÁ,0.6194,-66.135
TAPURUQUARA,-0.4203,-65.0153
SERRINHA,-0.4819,-64.8289
BACURI,-0.5397,-65.2128
ACARIQUARA,-0.5919,-64.8253
CACHOEIRA ALIANÇA,-0.8167,-64.1667
CUMARU,-0.6006,-63.3456
VILA CONCEIÇÃO - MONTANTE,0.2275,-63.9883
VILA CONCEIÇÃO,0.13,-63.9606
POSTO AJURICABA,0.8842,-62.6219
JALAUACA,-0.3011,-62.7622
SAMAUMA,-0.3667,-62.7744
PRAIA DO CUXARÁ,-0.9753,-62.9031
BARCELOS,-0.9678,-62.9286
BARCELOS,-0.9658,-62.9311
MISSÃO AUARI,3.9833,-64.4667
MISSÃO AUARIS - JUSANTE,4.0031,-64.4431
UAICÁS,3.5497,-63.1692
AMAJARI,3.6636,-61.3594
MARACÁ,3.3528,-61.4222
FAZENDA FONTE NOVA,3.45,-61.5
FAZENDA CAJUPIRANGA,3.4381,-61.0367
MOCIDADE,3.4644,-60.9097
BOA VISTA,3.4644,-60.9097
FAZENDA PASSARÃO,3.2078,-60.5711
BOA VISTA,3.2078,-60.5711
SÃO MARCOS,3.05,-60.4833
BOA VISTA,3.0172,-60.4894
BONFIM,3.3811,-59.8111
BONFIM,3.3811,-59.8111
RIO MAÚ,4.5761,-60.1397
FAZENDA NOVO DESTINO,3.8547,-59.6875
PONTE DO TACUTU,3.5675,-59.8883
BONFIM,3.5675,-59.8883
NORMÂNDIA,3.3758,-60.3172
FAZENDA PARAÍSO,3.3178,-60.3447
BONFIM,3.3178,-60.3447
FAZENDA NOVO DESTINO,3.8547,-59.6875
VILA SURUMU,4.1961,-60.7939
PACARAIMA,4.1961,-60.7939
GAVIÃO,4.6833,-60.4833
FAZENDA BANDEIRA BRANCA,4.6306,-60.4706
BACURAU,4.45,-60.3
TIPOREN,4.3,-60.5333
MALOCA DO CONTÃO,4.1675,-60.5289
PACARAIMA,4.1675,-60.5289
SANTO ANTÔNIO II,4.2333,-60.5167
FAZENDA PARAÍSO,3.3178,-60.3447
MALOCA AILAN,4.6333,-60.1833
FAZENDA CAPELA,3.015,-60.4967
BOA VISTA,2.9044,-60.7733
BOA VISTA,2.8811,-60.6789
BOA VISTA,2.8572,-60.6219
SÍTIO JARAGUÁ,2.8569,-60.7317
BOA VISTA,2.8267,-60.6561
BOA VISTA,2.8267,-60.6561
BOA VISTA,2.7639,-60.6911
POSTO FUNAI,2.7317,-62.0172
FAZENDA SANTO AMARO,2.8833,-61.3333
FÉ E ESPERANÇA,2.8708,-61.4406
ALTO ALEGRE,2.8708,-61.4406
MUCAJAÍ,2.4714,-60.9178
MUCAJAÍ,2.4714,-60.9178
BOCA DA ESTRADA (SÃO FRANCISCO),1.9833,-61.0333
CARACARAÍ,1.8214,-61.1236
CARACARAÍ,1.8136,-61.1272
FAZENDA ANAUÁ,1.1292,-60.2236
MISSÃO CATRIMANI,1.75,-62.2833
SANTA MARIA DO BOIAÇU,-0.5053,-61.7864
BOTO,0.3667,-61.8167
FAZENDA ANAUÁ,1.1292,-60.2236
CARACARAÍ,1.1292,-60.2236
CARACARAÍ,1.4761,-60.8636
CARACARAÍ,0.4897,-61.7033
CANTA,1.3381,-61.8428
PRAIA DO IZAIAS,-1.405,-61.8717
PORTO DE MOURA,-1.4439,-61.63
MOURA,-1.4567,-61.6347
RIO ALALAÚ (PONTE SOBRE O RIO),-0.8603,-60.5197
FAZENDA SÃO JOSÉ,0.5178,-60.4661
RORAINÓPOLIS,0.5178,-60.4661
BASE ALALAÚ,-0.8586,-60.52
UMANAPANA,-1.8869,-62.4636
DEMOCRACIA,-1.7333,-61.9167
SÃO FRANCISCO,-1.9833,-62.0667
SERINGALZINHO,-1.8319,-61.5994
BARURI,-2.0253,-61.5417
AIRÃO,-1.95,-61.3667
RUINAS DO VELHO AIRÃO,-1.9258,-61.3456
NOVO AIRÃO,-2.625,-60.9364
ESTAÇÃO DE MONTANTE,-3.0244,-60.2661
ESTAÇÃO INTERMEDIÁRIA,-3.0361,-60.2636
PONTE DO RIO ARIAÚ,-3.1339,-60.3656
RIO NEGRO,-2.6189,-60.9367
PARICATUBA,-3.0811,-60.2333
VILA DO PARICATUBA,-3.0764,-60.2539
RIO NEGRO (PONTA NEGRA),-3.0656,-60.1025
IGARAPÉ DA REDENÇÃO (RUA GOIÂNIA),-3.0575,-60.0531
IGARAPÉ DO GIGANTE (AV. DO TURISMO),-3.0678,-60.0933
IGARAPÉ DOS FRANCESES (RAIMUNDO PARENTE),-3.0689,-60.0258
IGARAPÉ DO MINDU  (NOVO ALEIXO),-3.0619,-59.9611
IGARAPÉ GOIABINHA (PROX. E.T.E. TIMBIRAS),-3.0483,-59.9797
IGARAPÉ ACARIQUARA (COSME FERREIRA),-3.0747,-59.9722
IGARAPÉ DO MINDU (PROX. AO PARQUE),-3.0789,-59.9936
IGARAPÉ DO SESC,-3.0717,-60.035
IGARAPÉ DA SAPOLÂNDIA (RUA ALVARO MAIA),-3.0831,-60.0358
IGARAPÉ DO BINDÁ (AV. MARIO IPIRANGA),-3.0861,-60.07
TATU PARICATUBA,-3.0594,-60.2653
MONTANTE FOZ TARUMÃ,-3.0269,-60.1719
BACIA REPRESENTATIVA,-2.6,-60.1
BACIA REPRESENTATIVA,-2.6333,-60.0833
IGARAPÉ TARUMÃ-AÇU (RAMAL DO PAU ROSA),-2.8047,-60.0258
RIO TARUMÃ - MONTANTE,-2.9153,-60.0994
IGARAPÉ DO BOLIVIA (PONTE TORQUARTO),-2.9736,-60.0156
IGARAPÉ DO MINDU (PROX. PARQUE NASCENTE),-3.0108,-59.9339
IGARAPÉ DO PASSARINHO (AV.TEN. ROXANA),-3.0172,-59.9914
RIO TARUMÃ - JUSANTE,-3.0369,-60.1081
RIO CUIEIRAS,-2.6647,-60.3261
COMUNIDADE NOVA ESPERANÇA,-2.7497,-60.4311
COMUNIDADE SÃO SEBASTIÃO,-2.8203,-60.4839
IGARAPÉ DO MINDÚ,-3.0994,-59.9994
IGARAPÉ DO MINDU (HIPER DB),-3.0975,-60.0219
MANAUS 2000,-3.115,-59.9711
PONTA DAS LAJES (CAPTAÇÃO),-3.1147,-59.8997
